id;start_date;end_date;language
1;2021-06-25T20:54:21;2021-06-25T18:44:36;ENGLISH
2;2021-06-25T06:21:56;2021-06-25T15:47:25;FRENCH
3;2021-06-25T16:18:08;2021-06-25T04:23:16;SPANISH
4;2021-06-25T20:48:57;2021-06-25T02:15:16;FRENCH
5;2021-06-25T23:05:20;2021-06-25T07:24:18;ENGLISH
6;2021-06-25T08:36:03;2021-06-25T22:36:23;SPANISH
7;2021-06-25T16:39:51;2021-06-25T03:14:00;FRENCH
8;2021-06-25T07:05:44;2021-06-25T03:41:33;FRENCH
9;2021-06-25T07:57:22;2021-06-25T19:28:48;FRENCH
10;2021-06-25T03:54:20;2021-06-25T20:51:49;FRENCH
